Accelerator_Pedal_value,Throttle_position_signal,Engine_speed,Engine_torque,Current_Gear,Vehicle_speed,Indication_of_brake_switch_ON(2)/OFF(1),Time(s)
0,7.1,670,24.2,1,0,2,162
0,7.1,668,24.2,1,0,2,163
0,7.1,669,24.2,1,0,2,164
0,7.1,669,24.2,1,0,2,165
0,7.1,670,24.2,1,0,2,166
0,7.1,670,24.2,1,0,2,167
0,7.1,669,24.2,1,0,2,168
0,7.1,666,24.2,1,0,2,169
0,7.1,667,24.6,1,0,2,170
0,7.1,667,24.6,1,0,2,171
0,7.1,668,24.2,1,0,2,172
0,7.1,666,24.6,1,0,2,173
0,7.1,668,24.2,1,0,2,174
0,7.1,670,24.2,1,0,2,175
0,7.1,669,24.2,1,0,2,176
0,7.1,670,24.2,1,0,2,177
0,7.1,670,24.2,1,0,2,178
0,7.1,672,24.2,1,0,2,179
0,7.1,669,24.2,1,0,2,180
0,7.1,670,24.2,1,0,2,181
0,7.1,668,24.2,1,0,2,182
0,7.1,669,24.2,1,0,2,183
0,7.1,668,24.2,1,0,2,184
0,7.1,668,24.2,1,0,2,185
0,7.1,667,24.2,1,0,2,186
0,7.1,669,24.2,1,0,2,187
0,7.1,671,24.2,1,0,2,188
0,7.1,669,24.2,1,0,2,189
0,7.1,668,24.2,1,0,2,190
0,7.1,669,24.2,1,0,2,191
0,7.1,669,24.2,1,0,2,192
0,7.1,669,24.2,1,0,2,193
0,7.1,668,24.2,1,0,2,194
0,7.1,671,24.2,1,0,2,195
0,7.1,669,24.2,1,0,2,196
0,7.1,669,24.2,1,0,2,197
0,7.1,671,24.2,1,0,2,198
0,7.1,668,24.2,1,0,2,199
0,7.1,672,24.2,1,0,2,200
0,7.1,670,24.2,1,0,2,201
0,7.1,671,24.2,1,0,2,202
0,7.1,670,24.2,1,0,2,203
0,7.1,670,24.2,1,0,2,204
0,7.1,670,24.2,1,0,2,205
0,7.1,670,24.2,1,0,2,206
0,7.1,672,24.2,1,0,2,207
0,7.1,679,24.2,1,1,1,208
0.4,8,900,25,1,5,1,209
0,6.6,1016,19.9,1,8,1,210
0.4,6.6,1069,21.1,1,12,1,211
1.6,7.5,1134,19.1,2,14,1,212
0,6.1,1350,13.3,2,16,2,213
0,6.6,1151,12.9,2,17,2,214
0,6.1,1102,12.5,2,17,2,215
2.7,8,1320,18,2,18,1,216
12.5,12.7,1967,27,2,20,1,217
18.4,20.7,1894,45.3,3,22,1,218
18.4,24.9,1917,49.2,3,25,1,219
18.4,24.9,1948,49.6,3,28,1,220
12.5,15.5,1978,39.1,3,31,1,221
5.1,9.4,1672,23.4,4,31,1,222
0,5.7,1419,10.2,4,30,1,223
6.6,8.5,1420,18,4,29,1,224
12.5,11.3,1491,28.1,4,29,1,225
15.6,16,1685,40.6,4,30,1,226
16.4,17.4,1792,44.1,4,31,1,227
18.4,18.3,1726,45.7,4,32,1,228
18.4,17.9,1654,44.9,4,34,1,229
14.8,15.5,1667,42.2,4,35,1,230
3.9,7.1,1620,20.7,4,34,1,231
0,5.7,1460,2.7,4,33,1,232
0,6.6,1453,0,4,30,1,233
17.6,15,1592,34.8,4,29,1,234
11.7,14.6,1818,39.1,4,30,1,235
0,6.6,1392,14.5,4,30,2,236
0,7.1,1224,12.9,4,27,2,237
0,6.6,998,14.8,4,21,2,238
0,7.5,990,17.2,3,16,2,239
0,7.5,928,21.1,3,13,2,240
0,7.5,864,22.7,3,11,2,241
0,7.1,840,22.3,3,11,2,242
0,7.1,841,21.1,3,11,1,243
0,7.1,862,19.1,3,13,1,244
0,6.6,915,17.6,3,14,1,245
0,7.1,958,18,3,16,1,246
1.2,7.5,1168,22.7,3,17,1,247
0,6.6,1110,16.4,3,19,1,248
0,7.1,1116,14.8,3,20,1,249
0,7.1,1179,16.8,3,21,1,250
2.7,7.5,1455,20.3,3,23,1,251
4.7,7.5,1508,18.8,3,24,1,252
4.3,7.5,1595,17.6,3,25,1,253
0,7.1,1487,12.9,3,26,1,254
0,7.1,1475,11.7,3,27,1,255
0,7.1,1496,10.5,3,28,2,256
0,7.1,1472,10.5,3,28,2,257
0,7.1,1472,11.7,3,28,1,258
10.2,9.9,1727,21.1,3,28,1,259
13.3,14.1,1910,35.9,3,28,1,260
1.6,9.4,1884,24.2,3,29,1,261
16.8,16.5,2022,35.9,3,30,1,262
1.6,9.4,1981,22.7,3,31,1,263
0,10.8,1598,21.9,4,31,1,264
11.3,11.8,1579,28.9,4,32,1,265
19.1,18.3,1619,43.4,4,33,1,266
21.5,24.4,1727,48.4,4,36,1,267
9.4,15,1824,33.2,4,38,1,268
2,7.1,1802,10.9,4,38,1,269
12.1,12.2,1832,27.7,4,38,1,270
12.5,12.7,1873,31.6,4,39,1,271
6.6,9.9,1903,24.2,4,40,1,272
0,6.1,1871,3.9,4,39,1,273
6.6,8.5,1847,15.2,4,38,1,274
9.4,9.9,1842,21.5,4,38,1,275
10.5,11.3,1856,25.8,4,38,1,276
3.5,8.5,1847,19.1,4,39,1,277
0,7.1,1774,8.2,4,38,1,278
12.1,14.1,1858,33.6,4,38,1,279
0.4,6.6,1823,13.7,4,38,2,280
0,7.1,1765,1.6,4,37,2,281
0,7.5,1692,0,4,35,1,282
4.7,8,1668,17.2,4,35,1,283
3.1,7.1,1611,12.9,4,34,1,284
0,5.7,1528,4.3,4,34,1,285
0,8,1565,0,4,32,1,286
2.7,7.1,1518,14.1,4,32,1,287
7.8,8.9,1527,16.8,4,32,1,288
16,15,1575,39.8,4,32,1,289
1.2,7.1,1574,19.1,4,33,1,290
0,6.1,1538,2,4,32,1,291
0,6.6,1466,0,4,31,2,292
0,6.1,1385,0,4,29,2,293
0,5.7,1259,0,4,27,2,294
0,6.6,977,12.5,4,26,2,295
0,6.6,978,13.3,4,25,2,296
0,6.1,939,13.3,4,21,2,297
0,7.1,1020,16.4,3,17,2,298
0,7.5,922,20.7,3,12,2,299
0,7.5,855,22.3,3,8,2,300
0,7.1,808,21.5,1,3,2,301
0,6.6,763,21.1,1,0,2,302
0,6.6,681,21.5,1,0,2,303
0,6.6,678,21.5,1,0,2,304
0,6.6,672,21.9,1,0,2,305
0,6.6,668,22.3,1,0,2,306
0,7.1,667,22.3,1,0,2,307
0,6.6,667,22.7,1,0,2,308
0,6.6,670,22.3,1,0,2,309
0,6.6,664,22.7,1,0,2,310
0,7.1,663,23,1,0,2,311
0,7.1,666,23,1,0,2,312
0,7.1,667,23,1,0,2,313
0,7.1,664,23.4,1,0,2,314
0,7.1,669,23,1,0,2,315
0,7.1,662,23.8,1,0,2,316
0,7.1,665,23.8,1,0,2,317
0,7.1,664,23.8,1,0,2,318
0,7.1,665,23.8,1,0,2,319
0,7.1,666,23.8,1,0,2,320
0,7.1,666,23.8,1,0,2,321
0,7.1,670,23.8,1,0,2,322
0,7.1,671,23.8,1,0,2,323
0,7.1,668,23.8,1,0,2,324
0,7.1,664,24.2,1,0,2,325
0,7.1,667,23.8,1,0,2,326
0,7.1,672,23.8,1,0,2,327
0,7.1,668,23.8,1,0,2,328
0,7.1,672,23.8,1,0,2,329
0,7.1,665,24.2,1,0,2,330
0,7.1,675,23.4,1,0,2,331
0,7.1,666,24.2,1,0,2,332
0,7.1,669,24.2,1,0,2,333
0,7.1,673,23.8,1,0,2,334
0,7.1,668,24.2,1,0,2,335
0,7.1,670,23.8,1,0,2,336
0,7.1,665,24.2,1,0,2,337
0,7.1,672,23.8,1,0,2,338
0,7.1,667,24.2,1,0,2,339
0,7.1,669,24.2,1,0,2,340
0,7.1,669,24.2,1,0,2,341
0,7.1,672,23.8,1,0,2,342
0,7.1,679,23.8,1,0,2,343
0,7.1,666,24.2,1,0,2,344
0,7.1,666,24.2,1,0,2,345
0,7.1,671,23.8,1,0,2,346
0,7.1,670,24.2,1,0,2,347
0,7.1,673,23.8,1,0,2,348
0,7.1,673,23.8,1,0,2,349
0,7.1,670,24.2,1,0,2,350
0,7.1,672,23.8,1,0,2,351
0,7.1,671,23.8,1,0,2,352
0,7.1,663,24.6,1,0,2,353
0,7.1,674,23.8,1,0,2,354
0,7.1,670,23.8,1,0,2,355
0,7.1,670,24.2,1,0,2,356
0,7.1,674,23.8,1,0,1,357
0,7.1,712,23.4,1,0,1,358
3.1,9.9,970,30.9,1,2,1,359
5.5,9.9,1246,32.4,1,6,1,360
7,9.4,1373,28.1,1,8,1,361
14.1,14.1,1712,35.9,1,10,1,362
14.5,15.5,2002,37.9,1,13,1,363
11.7,15,1759,39.8,2,16,1,364
3.1,8.9,1706,22.7,2,17,1,365
12.1,12.7,1850,30.9,2,18,1,366
7.4,10.8,1935,26.6,2,19,1,367
0,7.5,1388,15.2,2,19,2,368
0,7.5,1160,18,3,17,2,369
0,7.5,1032,19.9,3,15,2,370
0,7.5,956,20.7,3,14,1,371
6.2,9.9,1113,30.1,3,14,1,372
4.7,9.4,1256,30.9,3,15,2,373
0,7.1,1018,21.1,3,15,1,374
0,7.1,967,18.8,3,15,1,375
0,7.1,940,18.8,3,15,2,376
0,7.1,923,19.9,3,14,1,377
0,8,935,23.4,3,14,1,378
9.4,11.3,1230,34.8,3,14,1,379
14.5,16,1488,41.4,3,16,1,380
16.8,23,1729,46.9,3,18,1,381
17.2,29.1,1791,49.6,3,21,1,382
13.7,35.2,1698,50,3,24,1,383
0,8.5,1636,23,3,25,2,384
0,7.5,1521,14.5,3,24,2,385
0,7.5,1344,14.8,3,21,2,386
0,7.1,1187,16.4,3,19,2,387
0,7.1,1109,16,3,18,1,388
4.7,9.4,1184,23.4,3,18,1,389
15.6,15.5,1524,39.8,3,18,1,390
18,23,1750,46.5,3,21,1,391
22.7,70,1709,50.4,3,24,1,392
24.6,99.1,1763,52,3,27,1,393
26.2,91.1,1933,53.1,3,30,1,394
25.8,67.2,2150,51.6,3,34,1,395
12.1,20.7,2297,38.7,3,37,1,396
4.3,9.4,1862,18.8,4,37,1,397
9.4,10.4,1850,24.2,4,37,1,398
15.2,15,1969,36.7,4,37,1,399
0,5.2,1603,9.8,4,37,2,400
0,6.1,1103,10.9,4,36,2,401
0,6.6,1140,12.1,4,32,2,402
0,6.6,973,13.7,4,26,2,403
0,6.6,891,15.2,4,21,2,404
0,7.1,972,17.6,3,17,2,405
2.7,9.4,1083,23.8,3,16,1,406
18.7,19.3,1606,44.1,3,17,1,407
23.8,55.9,1885,52.3,3,20,1,408
25.4,100,1726,52.7,3,24,1,409
25.4,99.6,1760,52.7,3,27,1,410
20.3,45.6,1914,52.7,3,30,1,411
7.4,12.2,2006,32.4,3,32,1,412
0,10.4,1652,22.3,4,32,1,413
19.1,17.9,1695,42.2,4,33,1,414
19.9,20.7,1667,45.7,4,35,1,415
6.2,10.4,1716,27.7,4,36,1,416
0,6.1,1644,8.6,4,35,1,417
14.5,13.2,1692,31.3,4,35,1,418
2.7,8,1666,22.3,4,35,1,419
7.4,9.4,1692,22.3,4,35,1,420
0,5.7,1580,4.3,4,34,1,421
6.2,10.4,1583,9,4,33,1,422
5.9,8.9,1586,25,4,33,1,423
0,6.1,1491,7.4,4,32,1,424
17.6,16,1573,37.9,4,32,1,425
2.7,8.9,1550,23,4,32,1,426
18.7,16.9,1629,38.3,4,33,1,427
15.2,18.3,1645,42.6,4,34,1,428
7.8,10.4,1672,23.8,4,34,1,429
16,16.9,1726,42.2,4,35,1,430
11.3,11.8,1819,28.1,4,36,1,431
12.9,14.1,1906,37.9,4,37,1,432
14.1,13.2,1901,29.7,4,37,1,433
14.8,16,1971,41.8,4,39,1,434
0,8,1845,16,4,39,1,435
16,16,1932,39.5,4,39,1,436
0,7.1,1897,16,4,40,1,437
15.2,14.1,1924,28.9,4,39,1,438
21.1,19.3,1958,45.7,4,41,1,439
25,24,2041,50,4,42,1,440
25.4,27.3,2141,51.2,4,44,1,441
25,28.7,2246,52,4,47,1,442
21.5,24.9,2350,50.4,4,49,1,443
8.2,10.8,2152,26.2,4,50,1,444
0,5.7,1687,9,5,49,1,445
0,7.1,1651,0.4,5,48,2,446
0,7.1,1583,0,5,46,1,447
0,7.1,1515,0,5,44,1,448
0.4,7.5,1464,0,5,43,1,449
16.8,14.6,1512,39.1,5,42,1,450
3.5,8,1464,24.2,5,42,1,451
0.8,5.7,1363,8.6,5,41,1,452
10.2,11.8,1461,25.4,5,41,1,453
16.8,17.4,1535,43.8,5,41,1,454
19.1,20.2,1477,46.1,5,42,1,455
19.1,22.6,1492,48.8,5,43,1,456
20.3,21.1,1530,46.5,5,44,1,457
21.9,33.4,1571,50,5,45,1,458
18.4,24.4,1609,48.4,5,47,1,459
13.3,16.9,1644,44.5,5,48,1,460
14.5,12.2,1654,32,5,48,1,461
16.8,15.5,1666,41.8,5,48,1,462
8.2,10.4,1671,30.9,5,49,1,463
0,7.1,1609,10.9,5,47,1,464
13.3,14.1,1655,36.7,5,47,1,465
0,5.7,1560,12.9,5,46,1,466
0,6.1,1452,1.2,5,44,1,467
0,6.6,1437,0,5,42,1,468
5.9,9.9,1408,7.8,5,40,1,469
24.2,45.6,1691,50.4,5,40,1,470
9,29.1,2135,36.3,4,40,1,471
0,5.7,1794,4.7,4,39,1,472
3.9,8,1835,13.3,4,38,1,473
11.7,12.7,1836,25,4,37,1,474
6.6,10.4,1879,27.3,4,38,2,475
0,6.1,1588,3.5,4,35,2,476
0,6.1,1411,0,4,29,2,477
0,6.6,971,12.9,4,24,2,478
0,7.5,960,17.6,3,17,2,479
0,8,901,24.2,3,8,2,480
0,7.5,826,23.4,1,2,2,481
0,7.1,747,22.7,1,0,2,482
0,6.6,675,23.4,1,0,2,483
0,7.1,672,23.8,1,0,2,484
0,6.6,675,23.4,1,0,2,485
0,7.1,666,24.2,1,0,2,486
0,7.1,672,23.8,1,0,2,487
0,7.1,672,23.8,1,0,2,488
0,7.1,673,23.8,1,0,2,489
0,6.6,670,23.8,1,0,2,490
0,6.6,668,23.8,1,0,2,491
0,6.6,668,23.8,1,0,2,492
0,7.1,667,24.2,1,0,2,493
0,6.6,671,23.8,1,0,2,494
0,6.6,664,24.6,1,0,2,495
0,7.1,670,24.2,1,0,2,496
0,6.6,671,23.8,1,0,2,497
0,6.6,674,23.8,1,0,2,498
0,6.6,667,24.2,1,0,2,499
0,6.6,671,23.8,1,0,2,500
0,6.6,670,24.2,1,0,2,501
0,6.6,673,23.8,1,0,2,502
0,7.1,670,23.8,1,0,2,503
0,6.6,671,23.4,1,0,2,504
0,6.6,673,23.4,1,0,2,505
0,7.1,670,23.8,1,0,2,506
0,6.6,670,23.8,1,0,2,507
0,6.6,672,23.4,1,0,2,508
0,6.6,671,23.4,1,0,2,509
0,7.1,670,23.8,1,0,2,510
0,6.6,670,23.8,1,0,2,511
0,6.6,673,23.4,1,0,2,512
0,6.6,669,23.8,1,0,2,513
0,6.6,669,23.8,1,0,2,514
0,6.6,673,23.4,1,0,2,515
0,6.6,668,23.8,1,0,2,516
0,6.6,669,23.4,1,0,2,517
0,6.6,670,23.4,1,0,2,518
0,6.6,671,23.4,1,0,2,519
0,6.6,669,23.8,1,0,2,520
0,6.6,669,23.4,1,0,2,521
0,6.6,669,23.4,1,0,2,522
0,6.6,668,23.4,1,0,2,523
0,6.6,669,23.4,1,0,2,524
0,6.6,669,23.8,1,0,2,525
0,6.6,669,23.4,1,0,2,526
0,6.6,668,23.8,1,0,2,527
0,6.6,674,23.4,1,0,1,528
4.3,14.6,831,29.7,1,0,1,529
37.5,86.9,1730,50.4,1,6,1,530
39.5,100,2279,52.7,1,13,1,531
39.5,100,3236,59.8,1,20,1,532
39.5,100,3313,60.9,2,26,1,533
39.1,100,3237,64.1,2,32,1,534
35.9,100,3610,63.7,2,37,1,535
33.6,100,2881,58.6,3,41,1,536
12.1,30.1,2765,40.2,3,44,1,537
0,6.1,1712,9,4,44,2,538
0,9.9,1380,11.3,5,41,2,539
0,9.4,1289,11.7,5,37,2,540
0,7.1,1027,14.5,5,32,2,541
0,6.6,930,15.2,4,27,2,542
0,6.6,870,16,4,22,2,543
0,7.1,966,18.4,3,18,2,544
0,8,1028,19.1,3,16,1,545
16.8,16.9,1511,41.8,3,17,1,546
17.6,23.5,1755,48,3,19,1,547
13.7,20.7,1675,46.9,3,22,1,548
6.6,9.9,1540,30.1,3,23,1,549
16.4,16,1623,39.5,3,25,1,550
14.8,16.9,1694,43.4,3,26,1,551
3.5,8.9,1751,25.4,3,27,1,552
10.9,12.7,1833,28.1,3,27,1,553
0,10.8,1861,26.2,3,28,1,554
14.1,15.5,1987,37.9,3,29,1,555
1.2,9.4,1934,25.4,3,30,1,556
0,9.9,1480,17.2,4,29,1,557
3.5,8.5,1432,19.9,4,29,1,558
9.4,11.3,1451,25,4,29,1,559
25,39.9,1984,50.8,4,30,1,560
20.7,51.2,2074,51.2,4,33,1,561
32.4,68.1,1898,52.3,4,35,1,562
49.2,100,2472,56.3,3,37,1,563
27.3,68.6,2812,56.3,3,41,1,564
0,8.9,2315,14.1,4,42,2,565
0,9.9,1991,3.5,4,41,2,566
0,8.5,1665,5.1,4,34,2,567
0,7.1,1071,11.7,4,25,2,568
0,7.1,971,16.4,3,19,2,569
0,7.1,1091,16.8,3,17,1,570
0,7.1,1026,16.8,3,16,1,571
0,7.1,970,18,3,15,2,572
0,7.5,923,20.7,3,13,2,573
0,8,860,24.2,3,9,2,574
0,7.5,838,22.3,3,7,2,575
0,7.1,798,20.3,1,5,2,576
0,7.1,780,22.3,1,4,1,577
0,7.1,797,21.5,1,4,2,578
0,7.1,768,22.7,1,4,2,579
0,7.5,768,24.2,1,2,2,580
0,7.1,759,23.4,1,0,2,581
0,6.6,686,23.4,1,0,2,582
0,7.1,675,23.8,1,0,2,583
0,7.1,674,23.8,1,0,2,584
0,7.1,676,23.4,1,0,2,585
0,7.1,670,23.8,1,0,2,586
0,6.6,674,23.4,1,0,2,587
0,6.6,669,23.8,1,0,2,588
0,6.6,667,23.8,1,0,2,589
0,6.6,673,23.4,1,0,2,590
0,7.1,670,23.8,1,0,2,591
0,6.6,671,23.8,1,0,2,592
0,6.6,670,23.8,1,0,2,593
0,6.6,667,24.2,1,0,2,594
0,6.6,670,23.8,1,0,2,595
0,6.6,669,23.8,1,0,2,596
0,6.6,669,24.2,1,0,2,597
0,6.6,671,23.8,1,0,2,598
0,6.6,669,23.8,1,0,2,599
0,6.6,669,23.8,1,0,2,600
0,6.6,666,24.2,1,0,2,601
0,6.6,672,23.8,1,0,2,602
0,6.6,680,23.4,1,0,1,603
0,7.1,727,23.8,1,0,1,604
12.1,13.2,1224,37.9,1,3,1,605
14.1,14.6,1585,39.8,1,8,1,606
19.5,18.8,2078,44.9,1,12,1,607
20.3,20.2,2237,45.7,1,16,1,608
19.9,20.7,2087,46.9,2,19,1,609
18.7,19.7,2310,46.9,2,23,1,610
9.8,11.3,2268,27.3,2,25,1,611
18.7,18.3,1796,40.6,3,26,1,612
15.2,24.4,1805,47.7,3,28,1,613
11.3,14.1,1934,33.6,3,29,1,614
8.2,13.6,2039,34.8,3,30,1,615
21.9,31.5,1853,43,4,30,1,616
27.3,96.7,2049,52.3,4,32,1,617
30.9,100,2092,52.3,4,34,1,618
27.7,100,2489,53.9,3,36,1,619
12.5,43.7,2570,44.5,3,38,1,620
0.4,9.9,1957,15.6,4,38,1,621
0,9.4,1839,4.7,4,38,1,622
0,8.9,1765,4.7,4,37,2,623
0,6.6,1513,1.2,4,35,1,624
9,8.9,1616,20.7,4,34,1,625
5.9,9.4,1599,23,4,34,1,626
5.9,8.5,1600,19.9,4,33,1,627
3.5,11.3,1509,22.7,4,32,1,628
40.2,70,2035,52,3,34,1,629
45.3,100,2581,56.3,3,36,1,630
40.6,100,2792,59.8,3,40,1,631
24.6,58.7,2996,57.4,3,44,1,632
11.3,14.6,2452,35.2,4,46,1,633
2.3,8.5,1901,18.8,5,47,1,634
8.6,9.9,1651,22.3,5,46,1,635
26.2,28.2,1869,46.9,5,47,1,636
37.5,95.3,2456,54.7,4,47,1,637
41.8,100,2614,57.4,4,49,1,638
44.9,100,2697,59,4,51,1,639
45.3,100,2764,60.5,4,52,1,640
34.8,93,2805,59.8,4,53,1,641
19.5,23,2746,48.8,4,54,1,642
17.2,17.4,2631,39.8,4,53,1,643
25.8,26.8,2704,51.2,4,53,1,644
12.9,14.6,2581,31.6,4,52,1,645
21.9,22.1,2575,42.2,4,51,1,646
35.5,84.1,2681,57.4,4,51,1,647
35.5,99.6,2711,59.4,4,52,1,648
19.1,34.3,2600,49.6,4,52,1,649
13.3,13.2,2474,26.6,4,51,1,650
25.4,24.9,2596,48.8,4,50,1,651
30.5,76.5,2653,56.3,4,51,1,652
27.7,84.1,2654,56.6,4,51,1,653
14.5,16.9,2525,39.8,4,52,1,654
3.9,8,2391,14.5,4,50,1,655
0,6.6,1921,2.7,4,48,1,656
3.9,9.4,1759,4.7,4,47,1,657
27.3,24,2455,48.4,4,47,1,658
34.4,81.7,2479,53.9,4,49,1,659
39.5,100,2543,55.1,4,52,1,660
40.2,100,2622,56.6,4,54,1,661
